what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348946599186
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1348946599187
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1348946599188
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1348946599190
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1348946599191
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1348946599193
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1348946599195
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1348946599196
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1348946599197
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1348946599197
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1348946599198
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1348946599199
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1348946599200
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1348946599201
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348946599202
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348946599205
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348946599206
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1348946599207
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1348946599208
os,sysinfo,,,"win32",1348946599213
arch,sysinfo,,,"x86",1348946599213
ws,sysinfo,,,"win32",1348946599213
locale,sysinfo,,,"en_NZ",1348946599213
processors,sysinfo,,,"2",1348946599213
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348946599213
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1348946599213
java.specification.name,sysinfo,,,"Java Platform API Specification",1348946599213
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348946599213
java.specification.version,sysinfo,,,"1.7",1348946599213
java.vendor,sysinfo,,,"Oracle Corporation",1348946599213
java.version,sysinfo,,,"1.7.0_04",1348946599213
java.vm.info,sysinfo,,,"mixed mode, sharing",1348946599213
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348946599213
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348946599213
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348946599213
java.vm.specification.version,sysinfo,,,"1.7",1348946599213
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348946599213
java.vm.version,sysinfo,,,"23.0-b21",1348946599213
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1348946599218
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348946609174
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348946609201
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1348946609238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348946614371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348946623845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348946628977
